"";"distance";"route"
"255";4039;"Москва Москва Красноярск Красноярский"
"256";908;"Москва Москва Саратов Саратовская"
"257";1006;"Москва Москва Тольятти Самарская"
"258";4077;"Санкт-Петербург Санкт-Петербург Барнаул Алтайский"
"259";1204;"Москва Москва Ижевск Удмуртская"
"260";887;"Москва Москва Ульяновск Ульяновская"
"261";9048;"Санкт-Петербург Санкт-Петербург Владивосток Приморский"
"262";285;"Москва Москва Ярославль Ярославская"
"263";5085;"Москва Москва Иркутск Иркутская"
"264";2627;"Санкт-Петербург Санкт-Петербург Тюмень Тюменская"
"265";2151;"Москва Москва Тюмень Тюменская"
"266";2525;"Санкт-Петербург Санкт-Петербург Махачкала Дагестан"
"267";38;"Санкт-Петербург Санкт-Петербург Ольгино Ленинградская"
"268";3765;"Сергиев Посад Московская Новокузнецк Кемеровская"
"269";1609;"Химки Московская Кисловодск Ставропольский"
"270";34;"Химки Московская Москва Москва"
"271";1727;"Санкт-Петербург Санкт-Петербург Новошахтинск Ростовская"
"272";2165;"Санкт-Петербург Санкт-Петербург Обуховская оборона 295 Астраханская"
"273";1457;"Смоленск Смоленская Нижнекамск Татарстан"
"274";1743;"Санкт-Петербург Санкт-Петербург Нижнекамск Татарстан"
"275";732;"Видное Московская Санкт-Петербург Санкт-Петербург"
"276";587;"Екатеринбург Свердловская Кезский район, Удмуртская Республика, Россия
57°54′44″N, 53°41′14″E   или   57.912294, 53.68718 Удмуртская"
"277";197;"Москва Москва Владимир Владимирская"
"278";3557;"Санкт-Петербург Санкт-Петербург Когалым Ханты-Мансийский Автономный округ - Югра"
"279";93;"Ногинск Московская Подольск Московская"
"280";710;"Пушкино Московская Санкт-Петербург Санкт-Петербург"
"281";580;"Ногинск Московская Курск Курская"
"282";1109;"Москва Москва Набережные Татарстан"
"283";693;"Лешково Московская Псков Псковская"
"284";364;"Москва Москва Орел Орловская"
"285";221;"Сургут Ханты-Мансийский Автономный округ - Югра Нижневартовск Ханты-Мансийский Автономный округ - Югра"
"286";430;"Балашиха Московская Смоленск Смоленская"
"287";881;"Санкт-Петербург Санкт-Петербург Ельня Смоленская"
"288";145;"Санкт-Петербург Санкт-Петербург Кириши Ленинградская"
"289";279;"Пыть-Ях Ханты-Мансийский Автономный округ - Югра Когалым Ханты-Мансийский Автономный округ - Югра"
"290";2321;"Санкт-Петербург Санкт-Петербург Арамиль Свердловская"
"291";49;"Санкт-Петербург Санкт-Петербург Шлиссельбург Ленинградская"
"292";1017;"Москва Москва Шахты Ростовская"
"293";4692;"Санкт-Петербург Санкт-Петербург г. Алматы, пр. Рыскулова 2 Казахстан"
"294";5621;"Иркутск Иркутская Кириши Ленинградская"
"295";1083;"Ростов-на-Дону Ростовская Москва Москва"
"296";15;"Новосибирск Новосибирская г. Новосибрск Красный проспект д.53 Новосибирская"
"297";232;"Москва Москва Ростов Ярославская"
"298";804;"Санкт-Петербург Санкт-Петербург МО, серпуховской р-н,сельское поселение Липицы д.5. Московская"
"299";1028;"Москва Москва Новошахтинск Ростовская"
"300";1354;"Краснодар Краснодарский Москва Москва"
"301";903;"Волгоград Волгоградская Мценск Орловская"
"302";132;"Владимир Владимирская Ногинск Московская"
"303";2374;"Санкт-Петербург Санкт-Петербург Прохладный Кабардино-Балкарская"
"304";912;"Владимир Владимирская Всеволожск Ленинградская"
"305";808;"Москва Москва Кингисепп Ленинградская"
"306";1732;"Санкт-Петербург Санкт-Петербург Ленинск Волгоградская"
"307";2096;"Санкт-Петербург Санкт-Петербург Астрахань Астраханская"
"308";48;"Ногинск Московская Люберцы Московская"
"309";8284;"Химки Московская Хабаровск Хабаровский"
"310";947;"Санкт-Петербург Санкт-Петербург Козельск Калужская"
"311";9227;"Санкт-Петербург Санкт-Петербург Амурск Хабаровский"
"312";1225;"Волгоград Волгоградская Торжок Тверская"
"313";661;"Москва Москва Саранск Мордовия"
"314";35;"Мегион Ханты-Мансийский Автономный округ - Югра Нижневартовск Ханты-Мансийский Автономный округ - Югра"
"315";917;"Дзержинск Нижегородская Курск Курская"
"316";4114;"Санкт-Петербург Санкт-Петербург Кемерово Кемеровская"
"317";3766;"Санкт-Петербург Санкт-Петербург Новый Уренгой Ямало-Ненецкий"
"318";1023;"Санкт-Петербург Санкт-Петербург Навашино Нижегородская"
"319";90;"Сергиев Посад Московская Старая Купавна Московская"
"320";2202;"Санкт-Петербург Санкт-Петербург Новороссийск Краснодарский"
"321";443;"Дзержинск Нижегородская Пенза Пензенская"
"322";627;"Санкт-Петербург Санкт-Петербург Белый Тверская"
"323";593;"Москва Москва Великий Новгород Новгородская"
"324";262;"Ногинск Московская Новомосковск Тульская"
"325";2497;"Нижний Новгород Нижегородская Нефтеюганск Ханты-Мансийский Автономный округ - Югра"
"326";2717;"Омск Омская Тула Тульская"
"327";128;"Кингисепп Ленинградская Санкт-Петербург Санкт-Петербург"
"328";3689;"Санкт-Петербург Санкт-Петербург Ноябрьск Ямало-Ненецкий"
"329";1921;"Санкт-Петербург Санкт-Петербург Бузулук Оренбургская"
"330";1578;"Санкт-Петербург Санкт-Петербург Жирновск Волгоградская"
"331";790;"Волжск Марий Эл Москва Москва"
