"";"cargo_type";"original_value";"Freq"
"105";"необработанные";"Деревянные ящики в них (Трубы, фитинги, фланцы) объявленная стоимость груза: 1";3
"106";"необработанные";"запчасти к насосу";3
"107";"необработанные";"Керамическая плитка";3
"108";"необработанные";"керосин ТС-1";3
"109";"необработанные";"компрессора, шовные баллоны";3
"110";"необработанные";"Натуральный каучук SVR-3L";3
"111";"необработанные";"ОПАСНАЯ ХИМИЯ";3
"112";"необработанные";"полиизоцианат РМ-200";3
"113";"необработанные";"Полиизоцианат РМ-200 (по 250 кг)";3
"114";"необработанные";"Полиизоционат МДИ РМ-200 (по 250кг)";3
"115";"необработанные";"Полипропилен ПП МН 40;";3
"116";"необработанные";"Полихлоропреновый каучук";3
"117";"необработанные";"Полихлоропреновый каучук 
страховка 4 200 руб.";3
"118";"необработанные";"Полихлоропреновый каучук W";3
"119";"необработанные";"Полихлоропреновый каучук W - 10 тонн (мешки по 25 кг)";3
"120";"необработанные";"Сульфат бария  Портарит D20 (по 25 кг)";3
"121";"необработанные";"Технический углерод";3
"122";"необработанные";"Химия неопасная    Пластификатор ДИНФ";3
"123";"необработанные";"""Portaryte B10 - 9,6 (8 паллет)          Portaryte B25 - 10,8 (9 паллет)";2
"124";"необработанные";"""Гидроксид алюминия Портафилл А40 (по 25 кг)";2
"125";"необработанные";"1)Алкоголь  2) Соки";2
"126";"необработанные";"Portaryte B25 - 12 тонн (10 паллет), Portaryte B10- 8,4 (7 паллет)";2
"127";"необработанные";"АБСОРБЦИОННОЕ ОБОРУДОВАНИЕ на деревянных подставках,погрузка краном. Верхняя   10 ремней";2
"128";"необработанные";"Автохимия";2
"129";"необработанные";"Адипиновая кислота";2
"130";"необработанные";"алкоголь";2
"131";"необработанные";"Алькогольная продукция";2
"132";"необработанные";"Байпрен 210";2
"133";"необработанные";"Байпрен 210 (по 25 кг)- 19250,00 кг;";2
"134";"необработанные";"Ваннат РМ-200";2
"135";"необработанные";"Ванол С 2056 ( по 200 кг)";2
"136";"необработанные";"Ванол С2056";2
"137";"необработанные";"Ванол С2056 ( по 200 кг)               16 000кг Нетто, 17 500кг брутто";2
"138";"необработанные";"Везем Ваннат 6112";2
"139";"необработанные";"Гелевые аккумуляторы";2
"140";"необработанные";"гидравлические ключи, сердечники и зип";2
"141";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.) -20,4 т.";2
"142";"необработанные";"Главный двигатель V12-1800";2
"143";"необработанные";"Гофрокартон, 10 тонн";2
"144";"необработанные";"Груз: Полиизоцианат РМ200. Нетто20 000 кг    (20 п/л   1,2*1,2*1,2)";2
"145";"необработанные";"Десмодур Т 80 (по 250 кг)";2
"146";"необработанные";"Десмодур Т 80 (по 250 кг) Опасная химия";2
"147";"необработанные";"Дибутилфталат (по 1050 кг)";2
"148";"необработанные";"Дибутилфталат (по 1050 кг)   опасный груз 9 класс";2
"149";"необработанные";"дизель-генератор";2
"150";"необработанные";"ЗИП к центробежному насосу,з/ч к ключу,резиновые  сердечники на провентор";2
"151";"необработанные";"каучук";2
"152";"необработанные";"Келтан 6950С - 6 тонн+ Байпрен 210 - 1 тонна";2
"153";"необработанные";"комплект валопроводов и рулей";2
"154";"необработанные";"Космонат М-200";2
"155";"необработанные";"Космонат М-200 - 19750кг     Полиизоцианат РМ-200 - 250кг";2
"156";"необработанные";"Космонат Т-80  Аркол 1105 S   Силиконовый стабилизатор SC-240     Модификатор А46    Олова Октоат    Катализатор Амин А-33    Реактинт Синий X3LV   Реактинт Желтый X15     Метиленхлорид    Пуранол G330(";2
"157";"необработанные";"Космонат Т-80 (по 250 кг)  ОПАСНАЯ ХИМИЯ. Класс 6";2
"158";"необработанные";"Литол-24";2
"159";"необработанные";"НЕОПАСНАЯ ХИМИЯ";2
"160";"необработанные";"НЕОПЕНТИЛГЛИКОЛЬ (25 кг)";2
"161";"необработанные";"ограждения";2
"162";"необработанные";"Онгронат 2100 (по 250 кг)";2
"163";"необработанные";"Оюорудование";2
"164";"необработанные";"Полиизоцианат М200. Нетто20 000 кг, брутто 21 600 кг. (20 п/л   1,2*1,2*1,2)";2
"165";"необработанные";"Полиизоцианат МДИ РМ-200 (по 250 кг)";2
"166";"необработанные";"Полипропилен ПП МН 40; Полипропилен ПП МН 40 (коричневый).";2
"167";"необработанные";"Профиль рамный белый (москитка)";2
"168";"необработанные";"Пуранол D 220 (по 1000 кг)";2
"169";"необработанные";"РМ-200 - 20";2
"170";"необработанные";"Светильник 2100*2100*500 (д*ш*в)";2
"171";"необработанные";"Смола ПВХ PB900";2
"172";"необработанные";"станки";2
"173";"необработанные";"станок";2
"174";"необработанные";"Сульфат бария В25, В10          17паллет по 1200 кг";2
"175";"необработанные";"Сульфат бария марки Portaryte B 10 ( по 25 кг.) -20,4 т.";2
"176";"необработанные";"Сульфат бария марки Portaryte B 10 ( по 25 кг.) =6 т (5 паллет), Сульфат бария марки Portaryte B 25 ( по 25 кг.) -13,2 т (11 паллет)";2
"177";"необработанные";"Сульфат бария марки Portaryte B 25 ( по 25 кг.) - 20,4 т. (17 паллет)";2
"178";"необработанные";"Сульфат бария Портарит D20 (по 25 кг) - 20,4 т.";2
"179";"необработанные";"Технический углерод N550(меш)";2
"180";"необработанные";"Трихлорпропилфосфат       груз в 8 кубах";2
"181";"необработанные";"Триэтилфосфат";2
"182";"необработанные";"шланги";2
"183";"необработанные";"""Гидроксид алюминия Portaflam";1
"184";"необработанные";"""Сульфат бария (барит) В25 кол-во 7 200 кг     Сульфат бария (барит) В10 кол-во 13 200 кг""";1
"185";"необработанные";"""Сульфат бария В15  Рибетак 7529 Н";1
"186";"необработанные";"""Сульфат бария марки Portaryte B 10 ( по 25 кг.) - 20,4 т
""     
17 паллет     
20,4 т нетто";1
"187";"необработанные";"""Сульфат бария марки Portaryte B 40/10 ( по 25 кг.) Гидроксид алюминия Portaflame SG63 ( по 25 кг.)";1
"188";"необработанные";"1 загрузка с Геркулес:  Сульфат бария марки Portaryte B 10 ( по 25 кг.) =4,8 т(4 паллеты) 2 загрузка с Экспомаркета: Сульфат бария марки Portaryte B 25 ( по 25 кг.) = 4,8 т (4паллеты)";1
"189";"необработанные";"1. Келтан 3960Q - 12 паллет (12279 кг),Сульфат бария  Портарит D20 (по 25 кг) - 4 паллет.( 5 тонн)/ 2. Байгидрол А2546";1
"190";"необработанные";"1)Гидроксид алюминия Portaflame SG63 ( по 25 кг.) - 7,2 т.  6 паллет по 1200 кг.        7,2 т.  
2)Рибетак 7529Н-4,5 т, Рибетак 7522Н - 2 т, TCPP- 5 т    11     11,5 т";1
"191";"необработанные";"10000 кг Десмодура 44V20L (полиизоцианат)";1
"192";"необработанные";"1500  неопасная химия";1
"193";"необработанные";"2 тонны Пуранол F330N, и 17 тонн Полиизоцианат МДИ РМ-200";1
"194";"необработанные";"Portaryte B10 - 3.6т   Portaryte B25 - 16.8т";1
"195";"необработанные";"Portaryte B10 - 4,8( 4 паллеты)  Portaryte B25 - 15,6( 13 паллет)";1
"196";"необработанные";"Portaryte B10 - 7,175  т( 6    паллет)
Portaryte B25 - 4,75  т ( 4 паллеты)
                
Portaryte B10 - 7,175  т( 6    паллет)
Portaryte B25 - 4,75  т ( 4 паллеты)";1
"197";"необработанные";"Portaryte B10 - 9,6 т. ( 8 паллет) Portaryte B25 - 10,8 ( 9 паллет)";1
"198";"необработанные";"Portaryte B25 - 10,8т Portaryte B10 - 9,6т";1
"199";"необработанные";"а/м Toyota Land Cruiser 200 (после ДТП)";1
"200";"необработанные";"АБСОРБЦИОННОЕ ОБОРУДОВАНИЕ на деревянных подставках,погрузка краном. Верхняя    10 ремней";1
"201";"необработанные";"АБСОРБЦИОННОЕ ОБОРУДОВАНИЕ на деревянных подставках,погрузка краном. Верхняя  10 ремней";1
"202";"необработанные";"АБСОРБЦИОННОЕ ОБОРУДОВАНИЕ на деревянных подставках,погрузка краном. Верхняя.    10 ремней";1
"203";"необработанные";"Адипиновая к-та - 30 биг-бэгов по 500 кг";1
"204";"необработанные";"Адипиновая кислота (неопасная химия)";1
"205";"необработанные";"Адипиновая кислота (по 500 кг)";1
"206";"необработанные";"Акриловый модификатор LG PA828 (25 кг)                  5 500,00 кг нетто";1
"207";"необработанные";"Акриловый модификатор LG PA828, 8 паллет по 1 375,00 кг, 11 000,00 кг нетто, габариты паллета: 140х130х180";1
"208";"необработанные";"Аркол 1104";1
"209";"необработанные";"Аркол 1104 (по 200 кг.)             
Космонат Т-80 (по 250 кг)               
Метиленхлорид (по 270кг)    Силиконовый стабилизатор SC-240 (по 23,6 кг)    Модификатор А46 (по 20 кг)  Олова Октоат (по 25 кг)Катализатор Амин А-33 (по 25кг)Реактинт Синий X3LV (по 40,82кг)  Реактинт Желтый X15 (по40,82кг)     Реактинт Красный X6478 (по 40,82кг)";1
"210";"необработанные";"Аркол 1104 (по 200 кг.)             Космонат Т-80 (по 250 кг)               Метиленхлорид (по 270кг)                Силиконовый стабилизатор SC-240 (по 23,6 кг)";1
"211";"необработанные";"Аркол 1105 S (по 200 кг)";1
"212";"необработанные";"Аркол 1105 S (по 200 кг)        Силиконовый стабилизатор SC-240 (по 23,6 кг)                Модификатор А46 (по 20 кг)";1
"213";"необработанные";"Аркол 1105S";1
"214";"необработанные";"Байпрен 112";1
"215";"необработанные";"Байпрен 112                     
11 паллет Байпрен 112";1
"216";"необработанные";"Байпрен 112 + Реагент Sunlube ST-10";1
"217";"необработанные";"Байпрен 112, Вулканокс БКФ";1
"218";"необработанные";"Байпрен 210 (по 25 кг)- 19250,00 кг; Тербан 3406 - 500 кг";1
"219";"необработанные";"Байпрен 210 (по 25 кг),";1
"220";"необработанные";"Бензиловый спирт (20 бочек)";1
"221";"необработанные";"блоки+пенопласт";1
"222";"необработанные";"бочки с двухкомпонентной эбоксидной смолой";1
"223";"необработанные";"Буровые рукава";1
"224";"необработанные";"Валы";1
"225";"необработанные";"ваннат 6112    4,5 п/л (18 бочек)   3870 кг";1
"226";"необработанные";"ваннат 6112   5 п/л (20бочек)   4300 кг";1
"227";"необработанные";"Ваннат 6112 - 10 105кг, бочки по 215кг, 12 паллет";1
"228";"необработанные";"Ваннат 6112- 17 200 кг(бочки) - 20 паллет";1
"229";"необработанные";"Ванол С2056 - 16 000кг";1
"230";"необработанные";"вата";1
"231";"необработанные";"Вулканокс BKF";1
"232";"необработанные";"Вулканокс BKF                   15 000,00 кг нетто";1
"233";"необработанные";"Вулканокс BKF ( 15 кг.)";1
"234";"необработанные";"Вулканокс BKF ( 15 кг.)                 9 750,00 кг";1
"235";"необработанные";"Вулканокс БКФ";1
"236";"необработанные";"Вулканокс БКФ - 375 кг (1 паллет), Ренофит D/A - 700 кг (1 паллет), Келтан 3960 Q - 2 т (2 паллета) -место выгрузки №1; ТЕР - 3400 (17 бочек по 200 кг) место выгрузки № 2";1
"237";"необработанные";"Вулканокс БХТ                   248     ОПАСНАЯ ХИМИЯ";1
"238";"необработанные";"Газовый двигатель";1
"239";"необработанные";"Геркулес: загрузка Сульфат бария марки Portaryte B 25 ( по 25 кг.)  -15,6 т.(13 паллет) Экспомаркет : Сульфат бария марки Portaryte B 10 ( по 25 кг.) = 4,8 т (4 паллет)";1
"240";"необработанные";"Геркулес: загрузка Сульфат бария марки Portaryte B 25 ( по 25 кг.)  -19,2 т.(16 паллет) Экспомаркет : Сульфат бария марки Portaryte B 10 ( по 25 кг.) = 1,2 т (1 паллет)";1
"241";"необработанные";"Геркулес: загрузка Сульфат бария марки Portaryte B 25 ( по 25 кг.) -12 т. (10 паллет) Экспомаркет : загрузка Сульфат бария марки Portaryte B 10( по 25 кг.) -6 т.(5паллет), Бензиловый спирт - 1760 кг (2 паллеты)";1
"242";"необработанные";"Геркулес: загрузка Сульфат бария марки Portaryte B 25 ( по 25 кг.) -9,6т. (8 паллет) Экспомаркет : загрузка Сульфат бария марки Portaryte B 10( по 25 кг.) -10,8 т.(9 паллет)";1
"243";"необработанные";"Гидроксид алюминия Portaflame SG63";1
"244";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.)  17 паллет 20,400кг";1
"245";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.) - 20,4 тонн.";1
"246";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.) - 400 кг. Разбавитель XY748 (по 180 кг) 720 кг. Сульфат бария марки Portaryte B 25 ( по 25 кг.) 19,200 кг. Коробка с образцами- 1 шт.";1
"247";"необработанные";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.) Сульфат бария марки Portaryte B 25 ( по 25 кг.)";1
"248";"необработанные";"Гидроксид алюминия Портафилл А40 - 5 тонн (5 паллет)   Сульфат бария марки Portaryte B 40/10 -1,2 тонн(1 паллета)";1
"249";"необработанные";"Гидроксид алюминия Портафилл А40 (по 25 кг)";1
"250";"необработанные";"Гидроксид алюминия Портафилл А40 (по 25 кг) - 10 тонн (10 паллет)";1
"251";"необработанные";"Гидроксид алюминия Портафилл А40 (по 25 кг) - 5 тонн (5 паллет)";1
"252";"необработанные";"Гидроксид алюминия Портафилл А40 (по 25 кг) = 5 т. (5 паллет)  Сульфат бария марки Portaryte B 40/10 ( по 25 кг.)=3,6 (3 паллеты";1
"253";"необработанные";"Гидроксид алюминия Портафилл А40 (по 25 кг)-5 тонн (5 паллет)";1
"254";"необработанные";"Гидроксид алюминия Портафилл А40 (по 25 кг)= 10т (10 паллет) + Сульфат бария марки Portaryte B 40/10 ( по 25 кг.)=6т (5 паллет по 1,2т)";1
"255";"необработанные";"Головка динамическая YD100RU-45-8(8OM3W) (ЗГДШ-7)";1
"256";"необработанные";"горизонтальный станок токарный многоцелевой модели FTC-30 торговой марки FEELER c ЧПУ Fanuc 0i-TD в частично разобраном виде в базовой комплектации . Код ТНВЭД 8458112009";1
"257";"необработанные";"Гофрокартон,";1
"258";"необработанные";"Груз в кубах пластиковых Трихлорпропилфосфат (ZW) по 1250 кг";1
"259";"необработанные";"Груз неопасная химия в кубах пластиковых Трихлорпропилфосфат (ZW) по 1250 кг";1
"260";"необработанные";"Груз Онгронат 3000";1
"261";"необработанные";"Груз: Неопасная Химия (Полихлоропреновый каучук W (по 25 кг))";1
"262";"необработанные";"Груз: Неопасная Химия (Полихлоропреновый каучук по 25 кг) нетто 8  т, (8 п/л).";1
"263";"необработанные";"Двигатели, 1-й  2,09*1,29*1,70 (1 867 кг), 2-й  1,19*0,88*0,69 (220 кг)";1
"264";"необработанные";"Двигатель";1
"265";"необработанные";"двигетели";1
"266";"необработанные";"Десмодур 44 V 20L (по 250 кг)";1
"267";"необработанные";"Десмодур Т 80";1
"268";"необработанные";"Десмодур Т 80 (по 250 кг)    Метиленхлорид (по 270кг)     Опасная химия";1
"269";"необработанные";"Десмодур Т 80 (по 250 кг)   1 500,000           MOCA-HR гранулированная (по 50кг)       800   Метиленхлорид (по 270кг)  540
   ОПАСНАЯ ХИМИЯ   ДОПОГ";1
"270";"необработанные";"Десмодур Т 80 (по 250 кг) Полимерполиол Puranol PP 3045 (по 215 кг)";1
"271";"необработанные";"Десмодур Т 80 (по 250 кг)1 500                      Метиленхлорид (по 270кг) 270";1
"272";"необработанные";"Десмодур Т 80 (по 250 кг)10000  Силиконовый стабилизатор SC-240 (по 210 кг) Модификатор А46 (по 20 кг)      Олова Октоат (по 25 кг)     Катализатор Амин А-33 (по 25кг)";1
"273";"необработанные";"Десмодур Т 80 (по 250 кг)Аркол 1104 (по 200 кг.)Модификатор А46 (по 20 кг)Реактинт Синий X3LV";1
"274";"необработанные";"Десмодур Т 80 (по 250 кг)Метиленхлорид (по 270кг)   Аркол 1105 S (по 200 кг)    Силиконовый стабилизатор SC-240 (по 23,6 кг)        Олова Октоат (по 25 кг)";1
"275";"необработанные";"Десмодур Т 80 (по 250 кг)Силиконовый стабилизатор SC-240 (по 210 кг)    Катализатор Амин А-33 (по 25кг) Метиленхлорид (по 270кг) Модификатор А46 (по 20 кг)Олова Октоат (по 25 кг)";1
"276";"необработанные";"Десмодур Т100 SP (по 250 кг.)";1
"277";"необработанные";"Десмодур Т100 SP (по 250 кг.)    опасный груз";1
"278";"необработанные";"Десмодур Т100 SP (по 250 кг.)   Десмодур Т 80 (по 250 кг)";1
"279";"необработанные";"Десмодур Т100 SP (по 250 кг.)  опасная химия";1
"280";"необработанные";"Десмодур Т100 SP (по 250 кг.) Десмодур Т80";1
"281";"необработанные";"Десмодур Т100 SP (по 250 кг)     6000,00  Десмодур Т 80 (по 250 кг)     3000,00Метиленхлорид (по 270кг)                 540,00";1
"282";"необработанные";"Десмодур Т100 SP 6000,00  Десмодур Т 80 (по 250 кг)";1
"283";"необработанные";"дизельные двигатели с редукторами";1
"284";"необработанные";"Диол 2000";1
"285";"необработанные";"документы";1
"286";"необработанные";"дсп";1
"287";"необработанные";"з/ч к превентору, манометры, уровнемер";1
"288";"необработанные";"Загрузка на Геркулес: Portaryte B25 - 4,8 т. ( 4 паллет)Загрузка на Экспомаркет: Portaryte B25- 1,2 т. (1 паллета) Portaryte B10 - 14,4 ( 12 паллет)";1
"289";"необработанные";"закладная деталь для опоры";1
"290";"необработанные";"Запчасти к газопоршневой электростанции";1
"291";"необработанные";"идроксид алюминия Портафилл А40 (по 25 кг) = 10 т. (10 паллет)Гатчинский завод разгрузка: Гидроксид алюминия Портафилл А40 (по 25 кг) = 10 т. (10 паллет)";1
"292";"необработанные";"Изоцианат МДИ-100";1
"293";"необработанные";"Иллюминаторы";1
"294";"необработанные";"Кабель";1
"295";"необработанные";"картон";1
"296";"необработанные";"Картонные фильтра";1
"297";"необработанные";"Катер";1
"298";"необработанные";"каучук Euruprene OZON 7028/60";1
"299";"необработанные";"Келтан 2650 - 5 т (5 паллет), Келтан 3050 - 1 т (1 паллет), Келтан8550С - 2,7 т (3 паллета), Келтан 8570С - 10,8 т (12 паллет)";1
"300";"необработанные";"Келтан 8550 С    19800 тоннаж+900 кг паллеты";1
"301";"необработанные";"Келтан 8570С Байпрен 210 - 3 000 кг, Келтан 3960Q - 1 023 кг, Рибетак 7529Н - 200 кг";1
"302";"необработанные";"Келтан, Байпрен";1
"303";"необработанные";"Кетлан. Сульфат Бария";1
"304";"необработанные";"клей";1
"305";"необработанные";"комплектующие";1
"306";"необработанные";"Компресор";1
"307";"необработанные";"Компресор з/ч";1
"308";"необработанные";"компрессор и ресивер";1
"309";"необработанные";"контейнер 20' MRKU8337666";1
"310";"необработанные";"коробка";1
"311";"необработанные";"Космонат Т 80 (по 250 кг)                   10 000,000";1
"312";"необработанные";"Космонат Т-80                   5 000,000
ОПАСНАЯ ХИМИЯ";1
"313";"необработанные";"Космонат Т-80   Аркол 1105 S    Метиленхлорид  Силиконовый стабилизатор SC-240  Модификатор А46      Катализатор Амин А-33   Реактинт Желтый X15";1
"314";"необработанные";"Космонат Т-80   ОПАСНАЯ ХИМИЯ";1
"315";"необработанные";"Космонат Т-80  Метиленхлорид  Силиконовый стабилизатор SC-240  Модификатор А46  Олова Октоат    Катализатор Амин А-33   Реактинт Синий X3LV   Реактинт Желтый X15";1
"316";"необработанные";"Космонат Т-80 (по 250 кг)";1
"317";"необработанные";"Космонат Т-80 (по 250 кг)               Аркол 1105 S (по 200 кг)                Силиконовый стабилизатор SC-240 (по 210 кг)             Модификатор А46 (по 20 кг)              Олова Октоат (по 25 кг)             Катализатор Амин А-33 (по 25кг)             Реактинт Синий X3LV (по 40,82кг)                Реактинт Желтый X15 (по 40,82кг)                Метиленхлорид (по 270кг)                Реактинт Красный X6478 (по 40,82кг)";1
"318";"необработанные";"Космонат Т-80 (по 250 кг)               Метиленхлорид (по 270кг)                Аркол 1104 (по 200 кг.)             Реактинт Желтый X15 (по 40,82кг)";1
"319";"необработанные";"Космонат Т-80 (по 250 кг)               Силиконовый стабилизатор SC-240 (по 210 кг)             Метиленхлорид (по 270кг)                Модификатор А46 (по 20 кг)              Олова Октоат (по 25 кг)             Катализатор Амин А-33 (по 25кг)             
Аркол 1104 (по 200 кг.)             Реактинт Синий X3LV (по 40,82кг)                Реактинт Красный X6478 (по 40,82кг)             Реактинт Желтый X15 (по 40,82кг)";1
